GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations,22,0,0,0,6,0,4,0,4,0
IKE Build-Report Extension,network.ike.tooling.buildreport,BomImportModelObserver,134,0,24,0,39,0,18,0,6,0
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelCrossReference,4,174,3,23,1,39,3,14,0,4
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerEvaluation.AttentionItem,0,15,0,0,0,1,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,FindingCategory,0,21,0,0,0,4,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,Severity,0,15,0,0,0,3,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerEvaluation,0,27,0,4,0,2,0,4,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations.BomImport,6,32,3,3,0,3,3,2,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,ReceiptRenderer,7,307,3,21,1,66,3,16,0,7
IKE Build-Report Extension,network.ike.tooling.buildreport,BuildReportSpy,491,0,66,0,120,0,54,0,19,0
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerMode,0,15,0,0,0,3,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerEvaluation.AcceptedStatus,0,9,0,0,0,1,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,AcceptedEntry,10,30,3,3,1,6,3,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations.FileModel,4,43,2,2,0,7,2,2,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,Finding,2,31,1,1,0,6,1,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,Ledger,43,396,9,35,10,82,8,24,0,10
